Category,Partner Website/Brand,Coupon Amount,Rewards Percentage,Discount,Offer Summary,Terms and Condition,Offers Name,How to Use,Special Award,Festival Name,Tag,Offer Summary Cleaned,Offer Summary Normalized,Context Info,Personalized Offer,Formatted Email,Formatted Tweet,Formatted Blog,Formatted Push,Validated Offer
Wellness,HealthKart,2000,15,500 Off,Earn reward points with every purchase.,Cannot be clubbed with other offers.,Mega Cashback Offer,Apply coupon at checkout.,No,,bonus,earn reward points every purchase,earn reward points every purchase from HealthKart,"{'entities': {'HealthKart': 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'HealthKart']}",Exclusive Wellness offer from HealthKart! earn reward points every purchase from HealthKart ,"Dear Valued Customer,

Exclusive Wellness offer from HealthKart! earn reward points every purchase from HealthKart 

Best Regards,
Your Bank",Exclusive Wellness offer from HealthKart! earn reward points every purchase from HealthKart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from HealthKart! earn reward points every purchase from HealthKart </h2><p>Read more on our website...</p>,Exclusive Wellness offer from HealthKart! earn rew,Exclusive Illness offer from HealthKart! earn reward points every purchase from HealthKart 
Dining,Domino's,100,15,10% Off,Special discounts for loyal customers.,Offer valid till stock lasts.,Super Saver Deal,Discount auto-applied on cart.,No,,spend,special discounts loyal customers,special discount loyal customers from Domino's,"{'entities': {'Domino': 'PERSON'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'Domino']}",Exclusive Dining offer from Domino's! special discount loyal customers from Domino's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Domino's! special discount loyal customers from Domino's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Domino's! special discount loyal customers from Domino's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Domino's! special discount loyal customers from Domino's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Domino's! special disc,Exclusive Dining offer from Coming's! special discount loyal customers from Coming's Haste the best with premium dining discount.
Dining,Domino's,1000,20,100 Off,Special Diwali Offer: Exclusive cashback on selected brands.,Valid for online purchase only.,Flash Sale Special,Show QR code at store.,Yes,Diwali,bonus,special diwali offer exclusive cashback selected brands,special dial offer exclusive cashback selected bands from Domino's,"{'entities': {'Domino': 'PERSON'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'dial', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'Domino']}",Exclusive Dining offer from Domino's! special dial offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Domino's! special dial offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Domino's! special dial offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Domino's! special dial offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Domino's! special dial,Exclusive Dining offer from Coming's! special dial offer exclusive cashback selected bands from Coming's Haste the best with premium dining discount.
Home Needs,BigBasket,200,30,500 Off,Earn reward points with every purchase.,Cannot be clubbed with other offers.,Super Saver Deal,Apply coupon at checkout.,No,,shopping,earn reward points every purchase,earn reward points every purchase from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! earn reward points every purchase from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! earn reward points every purchase from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! earn reward points every purchase from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! earn reward points every purchase from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! earn re,Exclusive Some Needs offer from BigBasket! earn reward points every purchase from BigBasket 
Electronics,Reliance Digital,1000,15,100 Off,Special discounts for loyal customers.,Applicable only on select products.,Festive Bonanza,Use code at partner website.,No,,shopping,special discounts loyal customers,special discount loyal customers from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': 0.23015873015873015, 'keywords': ['special', 'discount', 'loyal', 'customers', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! special discount loyal customers from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! special discount loyal customers from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! special discount loyal customers from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! special discount loyal customers from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! special discount loyal customers from Reliance Digital 
Wellness,1mg,1500,25,200 Off,Special New Year Offer: Limited time offer - grab now!,Cannot be clubbed with other offers.,Reward Booster,Apply coupon at checkout.,Yes,New Year,reward,special new year offer limited time offer grab,special new year offer limited time offer grab from 1mg,"{'entities': {'1': 'CARDINAL'}, 'sentiment': 0.14069264069264067, 'keywords': ['special', 'new', 'year', 'offer', 'limited', 'time', 'offer', 'grab', 'mg']}",Exclusive Wellness offer from 1mg! special new year offer limited time offer grab from 1mg ,"Dear Valued Customer,

Exclusive Wellness offer from 1mg! special new year offer limited time offer grab from 1mg 

Best Regards,
Your Bank",Exclusive Wellness offer from 1mg! special new year offer limited time offer grab from 1mg  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from 1mg! special new year offer limited time offer grab from 1mg </h2><p>Read more on our website...</p>,Exclusive Wellness offer from 1mg! special new yea,Exclusive Illness offer from my! special new year offer limited time offer grab from my 
Electronics,Reliance Digital,1500,40,100 Off,Earn reward points with every purchase.,Cannot be clubbed with other offers.,Reward Booster,Show QR code at store.,No,,spend,earn reward points every purchase,earn reward points every purchase from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! earn reward points every purchase from Reliance Digital 
Wellness,Apollo Pharmacy,100,30,20% Off,Limited time offer - grab now!,Cannot be clubbed with other offers.,Mega Cashback Offer,Redeem via mobile app.,No,,bonus,limited time offer grab,limited time offer grab from Apollo Pharmacy,"{'entities': {'Apollo Pharmacy': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Apollo', 'Pharmacy']}",Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy ,"Dear Valued Customer,

Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy 

Best Regards,
Your Bank",Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from Apollo Pharmacy! lim,Exclusive Illness offer from Apollo Pharmacy! limited time offer grab from Apollo Pharmacy 
Dining,KFC,2000,40,500 Off,Special discounts for loyal customers.,Offer valid till stock lasts.,Reward Booster,Redeem via mobile app.,No,,reward,special discounts loyal customers,special discount loyal customers from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'KFC']}",Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! special discount loyal customers from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! special discount ,Exclusive Dining offer from KFC! special discount loyal customers from KFC Haste the best with premium dining discount.
Electronics,Amazon,1000,15,100 Off,Special Holi Offer: Earn reward points with every purchase.,Offer valid till stock lasts.,Reward Booster,Discount auto-applied on cart.,Yes,Holi,redemption,special holi offer earn reward points every purchase,special hold offer earn reward points every purchase from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'hold', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'Amazon']}",Exclusive Electronics offer from Amazon! special hold offer earn reward points every purchase from Amazon ,"Dear Valued Customer,

Exclusive Electronics offer from Amazon! special hold offer earn reward points every purchase from Amazon 

Best Regards,
Your Bank",Exclusive Electronics offer from Amazon! special hold offer earn reward points every purchase from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Amazon! special hold offer earn reward points every purchase from Amazon </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Amazon! special h,Exclusive Electronics offer from Amazon! special hold offer earn reward points every purchase from Amazon 
Wellness,HealthKart,5000,5,100 Off,Get exciting discounts on your favorite brands.,Offer valid till stock lasts.,Reward Booster,Discount auto-applied on cart.,No,,membership,get exciting discounts favorite brands,get exciting discount favorite bands from HealthKart,"{'entities': {'HealthKart': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'HealthKart']}",Exclusive Wellness offer from HealthKart! get exciting discount favorite bands from HealthKart ,"Dear Valued Customer,

Exclusive Wellness offer from HealthKart! get exciting discount favorite bands from HealthKart 

Best Regards,
Your Bank",Exclusive Wellness offer from HealthKart! get exciting discount favorite bands from HealthKart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from HealthKart! get exciting discount favorite bands from HealthKart </h2><p>Read more on our website...</p>,Exclusive Wellness offer from HealthKart! get exci,Exclusive Illness offer from HealthKart! get exciting discount favorite bands from HealthKart 
Electronics,Reliance Digital,2500,10,500 Off,Exclusive cashback on selected brands.,Terms and conditions apply as per the brand.,Festive Bonanza,Use code at partner website.,No,,redemption,exclusive cashback selected brands,exclusive cashback selected bands from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! exclusive cashback selected bands from Reliance Digital 
Electronics,Amazon,5000,25,500 Off,Special Valentine's Offer: Limited time offer - grab now!,Applicable only on select products.,Festive Bonanza,Discount auto-applied on cart.,Yes,Valentine's,shopping,special valentine offer limited time offer grab,special valentine offer limited time offer grab from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'valentine', 'offer', 'limited', 'time', 'offer', 'grab', 'Amazon']}",Exclusive Electronics offer from Amazon! special valentine offer limited time offer grab from Amazon ,"Dear Valued Customer,

Exclusive Electronics offer from Amazon! special valentine offer limited time offer grab from Amazon 

Best Regards,
Your Bank",Exclusive Electronics offer from Amazon! special valentine offer limited time offer grab from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Amazon! special valentine offer limited time offer grab from Amazon </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Amazon! special v,Exclusive Electronics offer from Amazon! special valentine offer limited time offer grab from Amazon 
Home Needs,BigBasket,200,5,20% Off,Limited time offer - grab now!,Valid for online purchase only.,Flash Sale Special,Discount auto-applied on cart.,No,,billing,limited time offer grab,limited time offer grab from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! limited time offer grab from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! limited,Exclusive Some Needs offer from BigBasket! limited time offer grab from BigBasket 
Wellness,PharmEasy,500,30,100 Off,Special New Year Offer: Limited time offer - grab now!,Offer valid till stock lasts.,Mega Cashback Offer,Apply coupon at checkout.,Yes,New Year,bonus,special new year offer limited time offer grab,special new year offer limited time offer grab from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.14069264069264067, 'keywords': ['special', 'new', 'year', 'offer', 'limited', 'time', 'offer', 'grab', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! special new year offer limited time offer grab from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! special new year offer limited time offer grab from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! special new year offer limited time offer grab from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! special new year offer limited time offer grab from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! special n,Exclusive Illness offer from PharmEasy! special new year offer limited time offer grab from PharmEasy 
Wellness,PharmEasy,2000,25,100 Off,Special discounts for loyal customers.,Valid for online purchase only.,Festive Bonanza,Discount auto-applied on cart.,No,,bonus,special discounts loyal customers,special discount loyal customers from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! special discount loyal customers from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! special discount loyal customers from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! special discount loyal customers from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! special discount loyal customers from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! special d,Exclusive Illness offer from PharmEasy! special discount loyal customers from PharmEasy 
Home Needs,Grofers,5000,30,Buy 1 Get 1 Free,Earn reward points with every purchase.,Applicable only on select products.,Festive Bonanza,Discount auto-applied on cart.,No,,payment,earn reward points every purchase,earn reward points every purchase from Grofers,"{'entities': {'Grofers': 'ORG'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'Grofers']}",Exclusive Home Needs offer from Grofers! earn reward points every purchase from Grofers ,"Dear Valued Customer,

Exclusive Home Needs offer from Grofers! earn reward points every purchase from Grofers 

Best Regards,
Your Bank",Exclusive Home Needs offer from Grofers! earn reward points every purchase from Grofers  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Grofers! earn reward points every purchase from Grofers </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Grofers! earn rewa,Exclusive Some Needs offer from Refers! earn reward points every purchase from Refers 
Dining,Domino's,200,5,20% Off,Special New Year Offer: Exclusive cashback on selected brands.,Terms and conditions apply as per the brand.,Mega Cashback Offer,Redeem via mobile app.,Yes,New Year,bonus,special new year offer exclusive cashback selected brands,special new year offer exclusive cashback selected bands from Domino's,"{'entities': {'Domino': 'PERSON'}, 'sentiment': 0.24675324675324675, 'keywords': ['special', 'new', 'year', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'Domino']}",Exclusive Dining offer from Domino's! special new year offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Domino's! special new year offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Domino's! special new year offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Domino's! special new year offer exclusive cashback selected bands from Domino's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Domino's! special new ,Exclusive Dining offer from Coming's! special new year offer exclusive cashback selected bands from Coming's Haste the best with premium dining discount.
Dining,Zomato,1000,5,20% Off,Special Holi Offer: Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Mega Cashback Offer,Discount auto-applied on cart.,Yes,Holi,spend,special holi offer get exciting discounts favorite brands,special hold offer get exciting discount favorite bands from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'hold', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Zomato']}",Exclusive Dining offer from Zomato! special hold offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! special hold offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! special hold offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! special hold offer get exciting discount favorite bands from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! special hold o,Exclusive Dining offer from Tomato! special hold offer get exciting discount favorite bands from Tomato Haste the best with premium dining discount.
Home Needs,Grofers,500,40,20% Off,Exclusive cashback on selected brands.,Offer valid till stock lasts.,Reward Booster,Apply coupon at checkout.,No,,billing,exclusive cashback selected brands,exclusive cashback selected bands from Grofers,"{'entities': {'Grofers': 'ORG'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'Grofers']}",Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers ,"Dear Valued Customer,

Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers 

Best Regards,
Your Bank",Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Grofers! exclusive,Exclusive Some Needs offer from Refers! exclusive cashback selected bands from Refers 
Dining,McDonald's,500,30,100 Off,Limited time offer - grab now!,Terms and conditions apply as per the brand.,Mega Cashback Offer,Discount auto-applied on cart.,No,,reward,limited time offer grab,limited time offer grab from McDonald's,"{'entities': {""McDonald's"": 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'McDonald']}",Exclusive Dining offer from McDonald's! limited time offer grab from McDonald's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from McDonald's! limited time offer grab from McDonald's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from McDonald's! limited time offer grab from McDonald's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from McDonald's! limited time offer grab from McDonald's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from McDonald's! limited ti,Exclusive Dining offer from McDonald's! limited time offer grab from McDonald's Haste the best with premium dining discount.
Dining,KFC,2500,10,Buy 1 Get 1 Free,Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Festive Bonanza,Show QR code at store.,No,,redemption,exclusive cashback selected brands,exclusive cashback selected bands from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'KFC']}",Exclusive Dining offer from KFC! exclusive cashback selected bands from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! exclusive cashback selected bands from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! exclusive cashback selected bands from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! exclusive cashback selected bands from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! exclusive cashbac,Exclusive Dining offer from KFC! exclusive cashback selected bands from KFC Haste the best with premium dining discount.
Wellness,HealthKart,2000,10,500 Off,Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Flash Sale Special,Discount auto-applied on cart.,No,,reward,exclusive cashback selected brands,exclusive cashback selected bands from HealthKart,"{'entities': {'HealthKart': 'ORG'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'HealthKart']}",Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart ,"Dear Valued Customer,

Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart 

Best Regards,
Your Bank",Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from HealthKart! exclusive cashback selected bands from HealthKart </h2><p>Read more on our website...</p>,Exclusive Wellness offer from HealthKart! exclusiv,Exclusive Illness offer from HealthKart! exclusive cashback selected bands from HealthKart 
Electronics,Reliance Digital,100,30,100 Off,Limited time offer - grab now!,Valid for online purchase only.,Reward Booster,Apply coupon at checkout.,No,,shopping,limited time offer grab,limited time offer grab from Reliance Digital,"{'entities': {'Reliance Digital': 'ORG'}, 'sentiment': -0.03571428571428571, 'keywords': ['limited', 'time', 'offer', 'grab', 'Reliance', 'Digital']}",Exclusive Electronics offer from Reliance Digital! limited time offer grab from Reliance Digital ,"Dear Valued Customer,

Exclusive Electronics offer from Reliance Digital! limited time offer grab from Reliance Digital 

Best Regards,
Your Bank",Exclusive Electronics offer from Reliance Digital! limited time offer grab from Reliance Digital  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Reliance Digital! limited time offer grab from Reliance Digital </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Reliance Digital!,Exclusive Electronics offer from Reliance Digital! limited time offer grab from Reliance Digital 
Electronics,Amazon,2000,30,10% Off,Special Eid Offer: Get exciting discounts on your favorite brands.,Terms and conditions apply as per the brand.,Mega Cashback Offer,Apply coupon at checkout.,Yes,Eid,redemption,special eid offer get exciting discounts favorite brands,special did offer get exciting discount favorite bands from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Amazon']}",Exclusive Electronics offer from Amazon! special did offer get exciting discount favorite bands from Amazon ,"Dear Valued Customer,

Exclusive Electronics offer from Amazon! special did offer get exciting discount favorite bands from Amazon 

Best Regards,
Your Bank",Exclusive Electronics offer from Amazon! special did offer get exciting discount favorite bands from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Amazon! special did offer get exciting discount favorite bands from Amazon </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Amazon! special d,Exclusive Electronics offer from Amazon! special did offer get exciting discount favorite bands from Amazon 
Home Needs,Grofers,100,15,200 Off,Exclusive cashback on selected brands.,Offer valid till stock lasts.,Flash Sale Special,Apply coupon at checkout.,No,,billing,exclusive cashback selected brands,exclusive cashback selected bands from Grofers,"{'entities': {'Grofers': 'ORG'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'Grofers']}",Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers ,"Dear Valued Customer,

Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers 

Best Regards,
Your Bank",Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Grofers! exclusive cashback selected bands from Grofers </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Grofers! exclusive,Exclusive Some Needs offer from Refers! exclusive cashback selected bands from Refers 
Dining,KFC,1500,30,100 Off,Special Holi Offer: Limited time offer - grab now!,Valid for online purchase only.,Super Saver Deal,Show QR code at store.,Yes,Holi,redemption,special holi offer limited time offer grab,special hold offer limited time offer grab from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'hold', 'offer', 'limited', 'time', 'offer', 'grab', 'KFC']}",Exclusive Dining offer from KFC! special hold offer limited time offer grab from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! special hold offer limited time offer grab from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! special hold offer limited time offer grab from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! special hold offer limited time offer grab from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! special hold offe,Exclusive Dining offer from KFC! special hold offer limited time offer grab from KFC Haste the best with premium dining discount.
Electronics,Croma,1500,40,20% Off,Special Valentine's Offer: Get exciting discounts on your favorite brands.,Offer valid till stock lasts.,Festive Bonanza,Apply coupon at checkout.,Yes,Valentine's,shopping,special valentine offer get exciting discounts favorite brands,special valentine offer get exciting discount favorite bands from Croma,"{'entities': {'Croma': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'valentine', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'Croma']}",Exclusive Electronics offer from Croma! special valentine offer get exciting discount favorite bands from Croma ,"Dear Valued Customer,

Exclusive Electronics offer from Croma! special valentine offer get exciting discount favorite bands from Croma 

Best Regards,
Your Bank",Exclusive Electronics offer from Croma! special valentine offer get exciting discount favorite bands from Croma  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Croma! special valentine offer get exciting discount favorite bands from Croma </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Croma! special va,Exclusive Electronics offer from Aroma! special valentine offer get exciting discount favorite bands from Aroma 
